Mass,Treatment,Fraction,Day,RunNum,Intensity
3024.25,NC,pellet,20,1,58960.98
3033.17,NC,pellet,20,1,59299.42
3065.21,NC,pellet,20,1,57497.99
3249.52,NC,pellet,20,1,28349.33
3449.13,NC,pellet,20,1,41652.01
3532.05,NC,pellet,20,1,60103.71
3568.06,NC,pellet,20,1,447913.27
3568.57,NC,pellet,20,1,832954.35
3584.14,NC,pellet,20,1,36220.34
3625.54,NC,pellet,20,1,26987.37
3658.27,NC,pellet,20,1,141758.32
3672.87,NC,pellet,20,1,52305.76
3710.3,NC,pellet,20,1,29207.96
3720.09,NC,pellet,20,1,171270.69
3725.49,NC,pellet,20,1,47760.84
3729.88,NC,pellet,20,1,108108.74
3838.67,NC,pellet,20,1,120725.61
3945.61,NC,pellet,20,1,254.14
3974.28,NC,pellet,20,1,20319.69
4008.98,NC,pellet,20,1,25674.57
4103.76,NC,pellet,20,1,36054.53
4176.45,NC,pellet,20,1,100553.15
4272.16,NC,pellet,20,1,536001.1
4375.64,NC,pellet,20,1,55644.88
4385.92,NC,pellet,20,1,231.56
4445.22,NC,pellet,20,1,2817231.52
4446.6,NC,pellet,20,1,181.63
4464.81,NC,pellet,20,1,18667.29
4477.57,NC,pellet,20,1,31724.1
4511.28,NC,pellet,20,1,886192.98
4529.09,NC,pellet,20,1,25217.86
4544.15,NC,pellet,20,1,18715.68
4555.99,NC,pellet,20,1,592.61
4558.31,NC,pellet,20,1,1142319.99
4564.48,NC,pellet,20,1,189570.51
4569.45,NC,pellet,20,1,272098.06
4574.15,NC,pellet,20,1,321669.53
4578.52,NC,pellet,20,1,172712.4
4583.86,NC,pellet,20,1,528377.79
4626.36,NC,pellet,20,1,66923.15
4648.19,NC,pellet,20,1,85510.95
4684.09,NC,pellet,20,1,354.14
4705.37,NC,pellet,20,1,991987.45
4811.75,NC,pellet,20,1,70724.99
4882.26,NC,pellet,20,1,3202131.83
4925.58,NC,pellet,20,1,109371.79
4969.83,NC,pellet,20,1,177425.02
5068.65,NC,pellet,20,1,19870.16
5110.99,NC,pellet,20,1,127.14
5124.99,NC,pellet,20,1,592.91
5160.21,NC,pellet,20,1,696.74
5165.95,NC,pellet,20,1,277606.75
5323.68,NC,pellet,20,1,21268.85
5328.7,NC,pellet,20,1,26412.56
5329.02,NC,pellet,20,1,133457.08
5576.24,NC,pellet,20,1,27696.33
5644.52,NC,pellet,20,1,95216.37
5657.86,NC,pellet,20,1,63284.06
5659.93,NC,pellet,20,1,498.74
5717.26,NC,pellet,20,1,20066.53
5722.32,NC,pellet,20,1,20234.71
5779.91,NC,pellet,20,1,11270.69
5902.02,NC,pellet,20,1,205.71
5985.58,NC,pellet,20,1,1942.35
6020.09,NC,pellet,20,1,1114.76
6025.37,NC,pellet,20,1,23736.39
6085.78,NC,pellet,20,1,25093.02
6126.79,NC,pellet,20,1,84975.21
6142.44,NC,pellet,20,1,50452.9
6153.82,NC,pellet,20,1,26668.94
6184.15,NC,pellet,20,1,415924.21
6188.7,NC,pellet,20,1,30321.43
6189.81,NC,pellet,20,1,654733.76
6195.15,NC,pellet,20,1,114606.08
6199.83,NC,pellet,20,1,51166.22
6205.82,NC,pellet,20,1,215870.67
6210.49,NC,pellet,20,1,43580.57
6225.82,NC,pellet,20,1,46062.95
6233.48,NC,pellet,20,1,45248.65
6279.66,NC,pellet,20,1,388.68
6379,NC,pellet,20,1,1746.57
6394.99,NC,pellet,20,1,159.5
6436.02,NC,pellet,20,1,2253.89
6456.76,NC,pellet,20,1,46002.49
6495.17,NC,pellet,20,1,13707.22
6507.06,NC,pellet,20,1,67435.05
6511.56,NC,pellet,20,1,2236948.76
6523.05,NC,pellet,20,1,8338.79
6540.03,NC,pellet,20,1,6777.3
6556.1,NC,pellet,20,1,1448.87
6560.97,NC,pellet,20,1,1030.99
6572.12,NC,pellet,20,1,947.57
6584.77,NC,pellet,20,1,423.3
6600.79,NC,pellet,20,1,859.72
6605.01,NC,pellet,20,1,2026.19
6610.63,NC,pellet,20,1,551180.7
6614.83,NC,pellet,20,1,350.59
6627.87,NC,pellet,20,1,2340.17
6643.89,NC,pellet,20,1,95588.89
6659.88,NC,pellet,20,1,24637.63
6675.88,NC,pellet,20,1,8947.79
6676.82,NC,pellet,20,1,14808.53
6682.86,NC,pellet,20,1,851.04
6690.83,NC,pellet,20,1,217508.07
6691.89,NC,pellet,20,1,3388.62
6696.73,NC,pellet,20,1,4889.79
6704.17,NC,pellet,20,1,30639.49
6706.86,NC,pellet,20,1,4420.06
6708.85,NC,pellet,20,1,477687.89
6712.71,NC,pellet,20,1,1511.35
6715.2,NC,pellet,20,1,455193.37
6721.9,NC,pellet,20,1,1282.17
6733.89,NC,pellet,20,1,6456.67
6741.87,NC,pellet,20,1,9505.48
6749.89,NC,pellet,20,1,1800.36
6757.85,NC,pellet,20,1,1231.34
6765.89,NC,pellet,20,1,586.02
6772.86,NC,pellet,20,1,405.03
6776.8,NC,pellet,20,1,84631.49
6787.81,NC,pellet,20,1,1209.1
6805.94,NC,pellet,20,1,3859.18
6820.94,NC,pellet,20,1,320.17
7016.76,NC,pellet,20,1,18013.07
7369.44,NC,pellet,20,1,257811.62
7512.55,NC,pellet,20,1,21467.69
7586.96,NC,pellet,20,1,1221.1
7596.58,NC,pellet,20,1,877488.27
7608.9,NC,pellet,20,1,35.25
7737.91,NC,pellet,20,1,148.65
7752.71,NC,pellet,20,1,57808.18
7905.73,NC,pellet,20,1,429.05
7910,NC,pellet,20,1,7022.91
7924.99,NC,pellet,20,1,126.68
7938.07,NC,pellet,20,1,311.73
7998.09,NC,pellet,20,1,7108.46
9086.39,NC,pellet,20,1,56214.7
9102.39,NC,pellet,20,1,26278.71
9117.88,NC,pellet,20,1,143499.17
9118.38,NC,pellet,20,1,17395.31
9134.39,NC,pellet,20,1,9854.39
9140.26,NC,pellet,20,1,403.83
9149.36,NC,pellet,20,1,5411.39
9165.36,NC,pellet,20,1,1917.8
9182.37,NC,pellet,20,1,1401.05
9197.78,NC,pellet,20,1,445.14
9292.21,NC,pellet,20,1,44969.29
9304.2,NC,pellet,20,1,39111.68
9324.67,NC,pellet,20,1,36197.16
9371.26,NC,pellet,20,1,327.31
9769.12,NC,pellet,20,1,220549.62
10126.19,NC,pellet,20,1,90670.63
10175.18,NC,pellet,20,1,20263
10439.2,NC,pellet,20,1,948.5
10593.26,NC,pellet,20,1,2283822.61
10687.22,NC,pellet,20,1,13203.95
11299.41,NC,pellet,20,1,2504866.86
11341.43,NC,pellet,20,1,89931.27
11673.85,NC,pellet,20,1,262092.17
11720.13,NC,pellet,20,1,493954.98
12049.42,NC,pellet,20,1,1621579.53
12376.4,NC,pellet,20,1,2069273.65
12885,NC,pellet,20,1,241.43
13296.18,NC,pellet,20,1,1625.03
13643,NC,pellet,20,1,210803.48
13706.45,NC,pellet,20,1,293518.12
13721.59,NC,pellet,20,1,40355.2
13736.46,NC,pellet,20,1,267284.64
13750.63,NC,pellet,20,1,3335194.74
13765.53,NC,pellet,20,1,14052156.31
13779.58,NC,pellet,20,1,32335.57
13780.67,NC,pellet,20,1,20780559.64
13795.53,NC,pellet,20,1,4030289.36
13808.65,NC,pellet,20,1,2166329.88
13822.67,NC,pellet,20,1,1421228.84
13837.65,NC,pellet,20,1,268857.17
13864.52,NC,pellet,20,1,591092.83
13878.56,NC,pellet,20,1,453112.19
13888.11,NC,pellet,20,1,2194077.45
13896.81,NC,pellet,20,1,431572.58
13903.98,NC,pellet,20,1,2324742.57
13922.01,NC,pellet,20,1,675880.58
13927.5,NC,pellet,20,1,360309.67
13943.13,NC,pellet,20,1,752481.02
13959.16,NC,pellet,20,1,22139055.01
13976.15,NC,pellet,20,1,2107745.2
13997.99,NC,pellet,20,1,815202.17
14008.02,NC,pellet,20,1,7102006.63
14022.84,NC,pellet,20,1,297313.64
14037.03,NC,pellet,20,1,364723.52
14050.04,NC,pellet,20,1,104297.41
14068.54,NC,pellet,20,1,134822.39
14082.58,NC,pellet,20,1,159914.1
14178.1,NC,pellet,20,1,1799223.59
14296.61,NC,pellet,20,1,553731.13
14404.3,NC,pellet,20,1,370864.37
14422.35,NC,pellet,20,1,1776457.11
14436.33,NC,pellet,20,1,569781.36
14449.21,NC,pellet,20,1,3655573.39
14463.25,NC,pellet,20,1,1213758.62
14477.22,NC,pellet,20,1,7239546.93
14493.24,NC,pellet,20,1,123614664.8
14509.3,NC,pellet,20,1,16424012.84
14525.29,NC,pellet,20,1,6254220.32
14527.19,NC,pellet,20,1,93906.72
14536.36,NC,pellet,20,1,1012548.34
14546.28,NC,pellet,20,1,1872974.9
14554.72,NC,pellet,20,1,1002159.69
14563.25,NC,pellet,20,1,387493.87
14569.73,NC,pellet,20,1,2307052.99
14584.72,NC,pellet,20,1,498280.89
14598.75,NC,pellet,20,1,3769931.64
14614.77,NC,pellet,20,1,65900878.41
14630.71,NC,pellet,20,1,12369342.85
14645.76,NC,pellet,20,1,3497970.45
14655.27,NC,pellet,20,1,6100506.41
14667.73,NC,pellet,20,1,2163038.15
14672.44,NC,pellet,20,1,396811.72
14685.75,NC,pellet,20,1,540240.16
14744.81,NC,pellet,20,1,340620.75
14753.4,NC,pellet,20,1,934262.19
14776.82,NC,pellet,20,1,2817819.19
14795.29,NC,pellet,20,1,514252.25
14872.81,NC,pellet,20,1,117836.76
14885.59,NC,pellet,20,1,5034838.09
14941.43,NC,pellet,20,1,681495.51
